CUMHURBAÞKANI VE 28.DÖNEM MÝLLETVEKÝLÝ GENEL SEÇÝMÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ýl Id;Ýl Adý;Kayýtlý Seçmen Sayýsý;Oy Kullanan Seçmen Sayýsý;Geçerli Oy Toplamý;MÝLLET;HAK-PAR;TKP;TKH;SOL PARTÝ;GENÇPARTÝ;MEMLEKET;BBP;AK PARTÝ;YENÝDEN REFAH;MHP;YEÞÝL SOL PARTÝ;TÝP;AB;ANAP;YP;HKP;MÝLLÝ YOL;VATAN PARTÝSÝ;GBP;CHP;ÝYÝ PARTÝ;AP;ZAFER PARTÝSÝ;SOSYALÝST GÜÇ BÝRLÝÐÝ ÝTTÝFAKI;CUMHUR ÝTTÝFAKI;EMEK VE ÖZGÜRLÜK ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;ATA ÝTTÝFAKI;BAÐIMSIZ TOPLAM OY
;Oy Oraný;;;;%0.1;%0.18;%0.16;%0.06;%0.57;%0.13;%0.6;%0.32;%36.8;%2.09;%3.55;%40.83;0%;%0.26;%0.17;%0.07;%0.08;0%;%0.08;%0.11;0%;%13.21;%0.17;0%;0%;%0.36;0%;0%;0%;0%
14;BOLU;236.464;216.187;210.825;207;197;181;56;144;549;2.101;1.594;76.486;6.851;49.262;1.717;1.142;364;695;57;146;95;191;126;45.575;15.782;816;4.063;20;1.779;15;590;24;0
;Oy Oraný;;;;%0.09;%0.09;%0.08;%0.02;%0.06;%0.26;%0.99;%0.75;%36.27;%3.24;%23.36;%0.81;%0.54;%0.17;%0.32;%0.02;%0.06;%0.04;%0.09;%0.05;%21.61;%7.48;%0.38;%1.92;0%;%0.84;0%;%0.27;%0.01;0%
15;BURDUR;204.323;185.430;178.884;234;240;173;59;106;349;1.354;1.243;64.331;2.157;24.960;1.105;0;440;354;57;161;0;249;166;55.496;20.640;783;2.575;7;936;2;678;29;0
;Oy Oraný;;;;%0.13;%0.13;%0.09;%0.03;%0.05;%0.19;%0.75;%0.69;%35.96;%1.2;%13.95;%0.61;0%;%0.24;%0.19;%0.03;%0.09;0%;%0.13;%0.09;%31.02;%11.53;%0.43;%1.43;0%;%0.52;0%;%0.37;%0.01;0%
16;BURSA-1;1.221.525;1.114.854;1.092.375;1.314;675;861;232;806;4.280;15.286;9.001;385.414;34.293;85.837;33.529;14.607;1.047;1.805;180;534;308;1.635;0;294.252;150.123;3.102;41.943;30;5.046;83;5.159;277;716
;Oy Oraný;;;;%0.12;%0.06;%0.07;%0.02;%0.07;%0.39;%1.39;%0.82;%35.28;%3.13;%7.85;%3.06;%1.33;%0.09;%0.16;%0.01;%0.04;%0.02;%0.14;0%;%26.93;%13.74;%0.28;%3.83;0%;%0.46;0%;%0.47;%0.02;%0.06
16;BURSA-2;1.145.887;1.037.696;1.013.312;1.275;651;1.175;303;1.035;2.827;12.956;6.950;424.630;41.215;91.991;56.557;0;1.485;1.824;223;634;0;1.116;0;213.564;103.378;2.992;36.083;37;5.964;2;3.974;125;346
;Oy Oraný;;;;%0.12;%0.06;%0.11;%0.02;%0.1;%0.27;%1.27;%0.68;%41.9;%4.06;%9.07;%5.58;0%;%0.14;%0.18;%0.02;%0.06;0%;%0.11;0%;%21.07;%10.2;%0.29;%3.56;0%;%0.58;0%;%0.39;%0.01;%0.03
17;ÇANAKKALE;436.260;399.816;390.896;403;439;558;151;248;1.189;4.111;1.700;122.834;3.781;25.103;7.480;4.820;624;883;88;324;124;457;439;137.908;64.766;1.284;7.860;11;1.065;44;2.146;56;0
;Oy Oraný;;;;%0.1;%0.11;%0.14;%0.03;%0.06;%0.3;%1.05;%0.43;%31.42;%0.96;%6.42;%1.91;%1.23;%0.15;%0.22;%0.02;%0.08;%0.03;%0.11;%0.11;%35.27;%16.56;%0.32;%2.01;0%;%0.27;%0.01;%0.54;%0.01;0%
18;ÇANKIRI;141.860;126.148;123.191;149;178;79;33;119;162;571;1.245;51.358;3.696;38.322;367;297;0;275;95;83;77;147;0;0;22.241;342;1.895;1;1.447;2;0;10;0
;Oy Oraný;;;;%0.12;%0.14;%0.06;%0.02;%0.09;%0.13;%0.46;%1.01;%41.68;3%;%31.1;%0.29;%0.24;0%;%0.22;%0.07;%0.06;%0.06;%0.11;0%;0%;%18.05;%0.27;%1.53;0%;%1.17;0%;0%;0%;0%
19;ÇORUM;399.038;362.480;354.060;440;488;286;89;139;462;1.964;2.747;140.169;11.675;71.358;1.419;1.255;0;703;103;252;185;661;0;109.713;0;1.362;5.398;17;3.091;35;3;46;0
;Oy Oraný;;;;%0.12;%0.13;%0.08;%0.02;%0.03;%0.13;%0.55;%0.77;%39.58;%3.29;%20.15;%0.4;%0.35;0%;%0.19;%0.02;%0.07;%0.05;%0.18;0%;%30.98;0%;%0.38;%1.52;0%;%0.87;0%;0%;%0.01;0%
20;DENÝZLÝ;795.283;728.905;709.052;1.025;610;497;190;600;2.814;9.892;10.235;236.011;9.563;58.729;16.716;7.148;0;0;270;479;0;1.044;625;225.622;101.081;0;18.494;50;3.226;75;3.781;8;267
;Oy Oraný;;;;%0.14;%0.08;%0.07;%0.02;%0.08;%0.39;%1.39;%1.44;%33.28;%1.34;%8.28;%2.35;1%;0%;0%;%0.03;%0.06;0%;%0.14;%0.08;%31.82;%14.25;0%;%2.6;0%;%0.45;%0.01;%0.53;0%;%0.03
21;DÝYARBAKIR;1.147.014;937.335;896.596;503;1.792;993;343;5.120;875;3.835;1.939;199.476;13.904;10.207;561.265;0;0;0;1.150;617;363;595;724;68.478;19.864;0;0;147;2.107;7;688;0;1.604
;Oy Oraný;;;;%0.05;%0.19;%0.11;%0.03;%0.57;%0.09;%0.42;%0.21;%22.24;%1.55;%1.13;%62.59;0%;0%;0%;%0.12;%0.06;%0.04;%0.06;%0.08;%7.63;%2.21;0%;0%;%0.01;%0.23;0%;%0.07;0%;%0.17
81;DÜZCE;294.637;271.845;265.570;388;241;224;71;121;769;2.955;2.404;130.816;10.319;42.876;2.549;1.151;382;848;67;210;137;311;146;59.969;0;980;5.754;7;1.661;6;2;35;171
;Oy Oraný;;;;%0.14;%0.09;%0.08;%0.02;%0.04;%0.28;%1.11;%0.9;%49.25;%3.88;%16.14;%0.95;%0.43;%0.14;%0.31;%0.02;%0.07;%0.05;%0.11;%0.05;%22.58;0%;%0.36;%2.16;0%;%0.62;0%;0%;%0.01;%0.06
22;EDÝRNE;320.299;289.264;281.477;366;371;261;108;417;1.592;2.501;659;64.272;1.857;21.085;4.997;2.936;300;525;90;347;285;500;0;110.784;58.391;716;4.241;3;1.181;24;2.441;15;212
;Oy Oraný;;;;%0.13;%0.13;%0.09;%0.03;%0.14;%0.56;%0.88;%0.23;%22.83;%0.65;%7.49;%1.77;%1.04;%0.1;%0.18;%0.03;%0.12;%0.1;%0.17;0%;%39.35;%20.74;%0.25;%1.5;0%;%0.41;0%;%0.86;0%;%0.07
23;ELAZIÐ;431.293;369.962;356.398;149;337;200;98;489;177;785;1.396;141.816;13.031;40.446;25.066;0;0;709;66;220;109;460;0;73.132;8.390;0;1.950;23;2.261;6;380;2;44.700
